load (lbf),span (in),inertia (in4),deflection (in)
151.328711,414,885.546949,2.286286
165.916652,436,702.081297,4.049734
130.331221,424,582.999335,3.482518
117.661076,374,992.523526,1.046076
84.331343,289,554.502317,0.496337
87.873002,374,653.340204,1.184635
141.521155,457,901.070231,3.106145
120.742957,346,722.773339,1.163178
122.70138,475,612.491577,4.670715
145.725737,306,505.603326,1.161042
103.2357,310,882.68367,0.502393
132.514373,352,514.371795,1.896152
115.205276,392,503.780595,2.560022
129.21108,353,755.011208,1.177691
148.503226,476,691.047492,4.915817
127.370881,247,639.704392,0.358556
128.650536,447,851.544147,2.699268
122.945366,479,617.672868,5.045928
148.788558,403,865.660961,2.162728
155.284277,316,544.500779,1.319239
112.365838,436,541.324493,3.388983
152.449881,444,669.362589,4.150628
138.993518,478,664.956098,5.073958
119.167393,248,865.658479,0.232003
90.99707,408,947.976705,1.298047
91.584682,366,906.325082,0.839502
114.42321,464,826.774293,2.987154
97.17101,405,963.418101,1.267754
137.638952,371,549.620713,2.178772
108.545693,259,845.914566,0.268438
138.652962,285,962.740029,0.432782
125.579539,349,990.070415,0.852614
158.805644,311,550.709899,1.254929
90.735523,477,519.342513,4.022594
86.617664,394,670.52736,1.475162
161.359638,423,924.819811,2.699728
111.982626,247,843.546453,0.230134
92.249982,331,872.001071,0.586131
85.679123,322,842.822831,0.526348
102.388957,470,546.530661,4.319579
131.326083,361,520.260552,2.055054
152.272322,412,635.810094,3.224818
117.295377,269,631.625563,0.467346
143.842291,306,749.889742,0.790921
84.670155,458,980.784953,1.764464
109.777112,431,778.022733,2.249836
141.503806,321,508.801504,1.353635
126.656031,350,744.270289,1.188039
128.133323,275,671.106229,0.504736
145.832685,293,742.826741,0.680778
156.232562,338,821.216006,1.184541
126.794054,412,810.063871,2.007237
127.238367,389,536.67267,2.600335
108.572975,357,947.710938,0.830677
166.319341,287,797.686381,0.677284
165.545496,451,716.18436,4.540275
110.256468,438,537.125199,3.407357
94.497161,416,717.340857,1.886788
109.99734,446,544.546821,3.606963
159.413327,403,648.177235,2.897435
140.116459,390,826.565911,1.854193
127.683478,292,937.65213,0.469748
149.770672,455,673.152626,4.466277
97.48902,455,766.577011,2.623796
90.406109,261,542.863298,0.344473
144.322827,441,892.613256,2.775186
140.375396,281,963.661896,0.414153
107.803086,395,984.438082,1.255958
125.926749,438,584.483848,3.628438
153.810255,293,766.227682,0.666594
98.721588,480,796.157939,3.026833
119.733888,356,979.543076,0.93108
120.599576,397,774.850036,1.887539
129.732935,413,819.1303,2.056542
107.291527,434,524.240227,3.433285
126.760183,264,905.514399,0.321468
118.487837,415,537.737026,3.114901
161.817894,412,915.066356,2.460882
117.830571,270,884.873526,0.332111
147.886625,457,669.953972,4.503081
116.747542,285,897.523578,0.383039
154.433846,354,582.504005,1.841099
135.704354,370,792.311872,1.43401
158.472933,318,806.793972,0.95814
118.979797,401,524.698559,2.791652
95.192241,352,652.676158,1.012494
165.00784,440,953.397744,2.999568
133.566003,434,602.998961,3.619487
91.082849,430,721.656132,1.960078
87.738834,423,954.343,1.434574
134.436503,465,887.694611,3.356635
100.818798,311,626.205596,0.716589
148.919309,365,827.45425,1.444005
92.932463,399,694.645596,1.616573
128.939164,320,719.964751,0.916387
86.975938,309,582.608422,0.607869
85.834983,437,962.657467,1.584396
103.13969,293,865.048552,0.428409
136.769515,285,707.026445,0.595131
107.013995,256,588.171697,0.353591
136.068382,390,814.360837,1.731173
117.034053,406,524.363422,2.883996
84.062615,391,659.78644,1.338294
140.989735,463,904.878548,3.246706
130.44443,293,946.668802,0.459475
119.832008,463,841.672931,2.908856
89.527812,256,535.213834,0.319809
164.172099,456,717.542371,4.693553
84.614781,403,923.470711,1.116154
122.892491,263,892.171983,0.295111
130.390992,276,678.447334,0.542517
115.10524,266,622.058844,0.422726
143.333257,386,832.467331,1.722836
128.777381,469,874.592849,3.361665
125.999118,358,750.653657,1.2189
152.34928,276,744.061906,0.561259
158.645791,403,645.340258,3.044685
157.964406,377,866.358654,1.766611
145.17589,294,741.878452,0.653563
161.880535,388,890.18714,1.985831
145.981654,241,939.215511,0.25151
90.142727,327,860.662935,0.57925
100.053571,444,762.781951,2.338075
121.521248,255,630.140849,0.373853
102.707085,308,878.53307,0.488989
164.569456,409,669.952343,3.246837
137.481246,470,652.088825,4.77318
111.000446,477,580.20444,4.488834
84.127103,333,599.165549,0.771073
103.648922,365,941.631805,0.914294
124.258534,307,942.856931,0.554653
98.681481,362,672.688474,1.202503
108.381713,368,708.039911,1.286986
94.14991,254,796.701829,0.225573
95.151576,307,855.593135,0.456015
166.380155,359,873.160156,1.452937
153.704564,443,922.717564,3.086326
161.381286,387,887.433324,1.964366
111.361836,265,860.12517,0.29776
165.814456,418,683.025628,3.507761
88.997763,336,617.462324,0.824516
84.169074,464,735.855373,2.524932
